NAME                                                 ZONE           STATUS      MACHINE_TYPE
gke-ng-devnet-geth-default-pool-f3a17015-ah8b        us-central1-a  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f3a17015-c25i        us-central1-a  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f3a17015-ctg8        us-central1-a  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f3a17015-wqie        us-central1-a  RUNNING     e2-medium
gke-ng-devnet-geth-large-pool-536eef3f-cgb2          us-central1-a  RUNNING     e2-standard-8
gke-ng-devnet-geth-validator-pool-4e873b7c-gblx      us-central1-a  RUNNING     e2-standard-4
gke-ng-devnet-geth-validator-pool-4e873b7c-udse      us-central1-a  RUNNING     e2-standard-4
gke-nitrograph-testnet-l-default-pool-15767d9a-2tdp  us-central1-a  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-15767d9a-8ll5  us-central1-a  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-15767d9a-k5lz  us-central1-a  RUNNING     n2-highmem-16
nitro-web-stack-bastion                              us-central1-a  RUNNING     e2-micro
workstation-e                                        us-central1-a  RUNNING     n2-highmem-8
gke-ng-devnet-geth-default-pool-f6a9a759-1k19        us-central1-b  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f6a9a759-bo08        us-central1-b  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f6a9a759-fvm3        us-central1-b  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-f6a9a759-zdu1        us-central1-b  RUNNING     e2-medium
gke-ng-devnet-geth-large-pool-e40d0bf1-1vpr          us-central1-b  RUNNING     e2-standard-8
gke-ng-devnet-geth-validator-pool-e9b3ff2b-glu8      us-central1-b  RUNNING     e2-standard-4
gke-nitrograph-testnet-l-default-pool-92795854-6xts  us-central1-c  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-92795854-bt3k  us-central1-c  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-92795854-uggm  us-central1-c  RUNNING     n2-highmem-16
training-controller-1                                us-central1-c  RUNNING     g2-standard-16
gke-ng-devnet-geth-default-pool-8f9c75e3-jvs5        us-central1-f  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-8f9c75e3-oj30        us-central1-f  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-8f9c75e3-q2ca        us-central1-f  RUNNING     e2-medium
gke-ng-devnet-geth-default-pool-8f9c75e3-w5nf        us-central1-f  RUNNING     e2-medium
gke-ng-devnet-geth-large-pool-4b2435ee-6k1k          us-central1-f  RUNNING     e2-standard-8
gke-ng-devnet-geth-validator-pool-4c587c30-6pfk      us-central1-f  RUNNING     e2-standard-4
gke-ng-devnet-geth-validator-pool-4c587c30-o1t4      us-central1-f  RUNNING     e2-standard-4
gke-nitrograph-testnet-l-default-pool-f37d7001-04vv  us-central1-f  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-f37d7001-fldg  us-central1-f  RUNNING     n2-highmem-16
gke-nitrograph-testnet-l-default-pool-f37d7001-fyi1  us-central1-f  RUNNING     n2-highmem-16
training-box-01                                      us-central1-f  TERMINATED  a2-highgpu-1g
